73,459,5
1,481,5
2,481,5
3,481,5
8,481,5
24,481,5
1,486,4
8,486,5
14,486,5
17,486,5
20,486,5
32,486,5
33,486,5
48,486,4
66,486,5
69,486,5
79,486,5
1,487,4
2,487,4
3,487,3
9,487,3
11,487,4
13,487,3
26,487,5
33,487,5
1,502,4
1,502,5
5,502,4
13,502,3
14,502,4
16,502,4
20,502,5
20,502,4
26,502,4
32,502,5
34,502,3
48,502,5
55,502,4
63,502,5
78,502,4
1,505,5
8,505,4
20,505,4
34,505,5
35,505,4
43,505,5
72,505,5
79,505,5
1,514,5
8,514,5
14,514,5
21,514,5
35,514,5
66,514,5
72,514,5
1,530,5
13,530,4
14,530,5
16,530,5
35,530,3
1,546,5
8,546,5
14,546,4
19,546,4
35,546,5
1,555,4
2,555,3
3,555,4
16,555,5
17,555,3
1,561,4
2,561,3
11,561,4
27,561,5
58,561,4
1,571,3
2,571,4
5,571,4
21,571,4
30,571,4
1,575,5
3,575,5
11,575,4
24,575,4
43,575,5
73,575,5
1,583,5
9,583,5
13,583,5
14,583,5
35,583,4
66,583,5
1,601,4
2,601,5
5,601,4
30,601,5
58,601,4
72,601,5
78,601,4
1,604,4
21,604,4
48,604,4
52,604,5
63,604,4
81,604,4
1,614,4
9,614,3
24,614,3
58,614,4
73,614,4
1,617,5
19,617,3
19,617,4
24,617,4
35,617,4
40,617,4
54,617,5
55,617,5
69,617,4
1,625,3
3,625,3
5,625,4
21,625,4
26,625,2
1,626,3
3,626,4
5,626,5
7,626,5
37,626,4
58,626,4
1,634,4
14,634,4
35,634,3
63,634,4
72,634,4
1,636,4
3,636,4
9,636,3
13,636,4
26,636,4
1,641,5
3,641,5
7,641,5
9,641,3
17,641,4
20,641,4
26,641,5
34,641,5
52,641,4
63,641,5
66,641,5
72,641,5
79,641,5
1,642,3
8,642,5
11,642,5
19,642,5
32,642,5
35,642,5
48,642,5
48,642,4
63,642,4
63,642,2
69,642,5
81,642,4
1,644,5
5,644,1
8,644,3
24,644,3
27,644,5
40,644,4
1,655,5
5,655,5
8,655,4
14,655,4
26,655,4
37,655,4
40,655,5
58,655,4
1,660,4
8,660,5
9,660,4
14,660,5
27,660,5
35,660,3
37,660,5
40,660,5
52,660,5
58,660,5
69,660,5
73,660,5
1,665,5
2,665,4
21,665,4
24,665,5
37,665,5
48,665,4
1,672,5
7,672,5
14,672,1
37,672,3
69,672,4
1,673,5
19,673,3
34,673,5
35,673,5
48,673,5
63,673,4
1,679,4
5,679,4
48,679,3
58,679,4
69,679,3
1,687,5
5,687,3
8,687,4
26,687,3
27,687,3
37,687,3
1,723,5
2,723,5
3,723,5
8,723,5
9,723,5
1,752,5
11,752,5
19,752,3
37,752,5
48,752,5
52,752,3
63,752,4
73,752,5
81,752,5
1,754,5
2,754,5
11,754,4
37,754,5
40,754,5
73,754,5
1,767,5
8,767,5
9,767,5
13,767,4
14,767,5
20,767,5
20,767,3
26,767,4
35,767,5
48,767,5
58,767,5
69,767,4
1,772,5
2,772,5
11,772,5
24,772,4
26,772,5
58,772,4
1,777,3
3,777,3
5,777,4
7,777,4
11,777,4
14,777,3
20,777,3
21,777,2
30,777,4
32,777,3
35,777,1
37,777,3
40,777,3
43,777,3
55,777,3
58,777,3
59,777,3
66,777,3
69,777,4
73,777,4
77,777,3
79,777,3
1,811,4
2,811,4
17,811,4
24,811,5
27,811,5
33,811,4
48,811,5
50,811,3
52,811,4
59,811,5
1,816,2
7,816,5
16,816,2
20,816,5
50,816,5
1,821,5
3,821,4
5,821,4
48,821,5
52,821,4
1,841,5
3,841,3
7,841,4
9,841,5
26,841,4
40,841,4
58,841,4
66,841,5
1,857,5
16,857,5
30,857,5
34,857,5
39,857,5
72,857,5
79,857,5
1,859,5
26,859,2
35,859,3
43,859,4
63,859,3
69,859,5
77,859,5
1,866,5
3,866,5
20,866,4
37,866,5
43,866,5
55,866,5
59,866,5
66,866,4
1,872,5
2,872,5
8,872,5
21,872,5
37,872,5
1,899,5
9,899,1
17,899,5
20,899,5
26,899,3
32,899,5
52,899,5
79,899,5
1,913,5
5,913,5
27,913,5
30,913,4
34,913,3
37,913,5
58,913,4
72,913,5
78,913,5
1,930,5
2,930,4
20,930,5
34,930,5
40,930,5
48,930,3
55,930,5
63,930,4
81,930,4
81,930,5
1,942,5
8,942,3
27,942,4
32,942,4
66,942,5
72,942,5
1,950,4
5,950,4
8,950,4
24,950,4
32,950,5
35,950,5
40,950,5
55,950,5
73,950,5
1,976,5
9,976,4
14,976,3
24,976,5
26,976,5
40,976,5
1,982,2
1,982,4
9,982,5
48,982,1
66,982,5
1,983,5
3,983,5
5,983,4
21,983,5
48,983,5
1,987,4
11,987,5
13,987,4
16,987,5
35,987,4
40,987,5
43,987,5
66,987,5
79,987,5
1,996,5
13,996,4
16,996,5
17,996,5
24,996,5
1,1019,4
16,1019,5
20,1019,3
54,1019,4
63,1019,5
1,1024,2
13,1024,2
13,1024,5
21,1024,5
26,1024,1
34,1024,4
37,1024,5
39,1024,4
55,1024,5
59,1024,5
63,1024,5
69,1024,4
79,1024,5
1,1035,5
5,1035,5
11,1035,5
14,1035,5
24,1035,5
53,1035,4
58,1035,4
1,1037,1
7,1037,4
8,1037,4
30,1037,5
35,1037,2
40,1037,3
43,1037,5
1,1038,5
9,1038,4
9,1038,3
21,1038,5
37,1038,5
66,1038,5
1,1051,5
8,1051,4
11,1051,5
14,1051,4
17,1051,4
66,1051,5
1,1054,5
7,1054,5
14,1054,4
17,1054,5
32,1054,5
37,1054,5
66,1054,3
1,1073,5
2,1073,5
5,1073,5
14,1073,5
37,1073,5
1,1075,5
20,1075,5
32,1075,5
34,1075,5
37,1075,5
66,1075,5
79,1075,5
1,1077,4
5,1077,5
7,1077,5
14,1077,5
26,1077,2
30,1077,5
40,1077,5
58,1077,5
79,1077,5
1,1084,5
26,1084,5
37,1084,5
52,1084,5
58,1084,5
1,1114,4
2,1114,5
8,1114,5
14,1114,4
26,1114,3
33,1114,3
1,1115,5
20,1115,5
35,1115,5
40,1115,5
66,1115,5
1,1116,5
2,1116,4
3,1116,4
11,1116,4
14,1116,5
24,1116,3
72,1116,5
79,1116,5
1,1129,5
5,1129,5
7,1129,5
9,1129,5
11,1129,5
24,1129,5
1,1144,5
8,1144,5
11,1144,5
14,1144,5
33,1144,5
66,1144,5
1,1154,4
2,1154,5
11,1154,5
21,1154,4
37,1154,4
52,1154,4
1,1158,5
5,1158,5
37,1158,5
58,1158,5
66,1158,5
1,1159,4
2,1159,5
8,1159,5
8,1159,4
17,1159,5
33,1159,4
35,1159,5
37,1159,5
58,1159,5
63,1159,5
2,1186,5
8,1186,1
13,1186,5
19,1186,5
27,1186,5
63,1186,5
69,1186,5
81,1186,5
2,1198,4
5,1198,4
19,1198,4
24,1198,5
73,1198,4
2,1211,3
3,1211,3
5,1211,3
7,1211,4
11,1211,3
16,1211,4
27,1211,3
54,1211,3
66,1211,3
2,1221,5
5,1221,5
11,1221,5
13,1221,4
27,1221,4
37,1221,5
52,1221,4
2,1229,4
13,1229,4
13,1229,5
26,1229,4
54,1229,4
2,1233,5
3,1233,5
11,1233,5
20,1233,5
39,1233,5
40,1233,5
48,1233,5
69,1233,5
2,1238,4
13,1238,4
19,1238,4
21,1238,3
24,1238,5
50,1238,4
72,1238,3
2,1242,5
3,1242,5
5,1242,5
11,1242,5
16,1242,5
33,1242,5
37,1242,5
58,1242,5
59,1242,5
72,1242,5
2,1254,4
16,1254,5
27,1254,5
52,1254,3
72,1254,5
81,1254,5
2,1270,5
5,1270,5
8,1270,5
21,1270,5
37,1270,5
52,1270,5
73,1270,5
2,1276,5
3,1276,5
13,1276,5
26,1276,5
35,1276,5
2,1307,4
17,1307,5
20,1307,4
35,1307,5
48,1307,5
54,1307,5
55,1307,5
66,1307,4
2,1308,5
13,1308,5
13,1308,3
20,1308,5
27,1308,4
2,1336,4
7,1336,5
37,1336,4
48,1336,4
53,1336,4
58,1336,4
72,1336,4
2,1341,3
11,1341,5
14,1341,5
26,1341,4
35,1341,5
48,1341,5
52,1341,4
72,1341,5
2,1343,5
5,1343,5
14,1343,4
26,1343,5
35,1343,5
37,1343,4
2,1344,4
5,1344,3
24,1344,3
40,1344,3
81,1344,4
2,1359,3
3,1359,4
7,1359,4
14,1359,3
21,1359,4
27,1359,4
48,1359,3
50,1359,3
2,1364,5
3,1364,5
5,1364,5
8,1364,5
9,1364,5
11,1364,5
24,1364,5
37,1364,5
40,1364,5
2,1367,3
7,1367,3
20,1367,3
24,1367,3
32,1367,3
50,1367,3
69,1367,4
2,1374,4
2,1374,5
13,1374,5
19,1374,5
24,1374,3
37,1374,3
77,1374,5
2,1376,5
3,1376,4
13,1376,4
37,1376,4
43,1376,5
2,1386,4
3,1386,5
11,1386,5
14,1386,4
77,1386,5
2,1400,4
3,1400,5
5,1400,5
8,1400,5
11,1400,5
21,1400,5
37,1400,5
2,1414,1
3,1414,5
7,1414,5
21,1414,5
26,1414,4
63,1414,4
72,1414,4
2,1427,4
9,1427,4
26,1427,5
27,1427,3
40,1427,5
73,1427,5
2,1430,4
11,1430,4
13,1430,3
14,1430,5
21,1430,5
35,1430,4
2,1433,4
11,1433,3
14,1433,3
16,1433,4
34,1433,4
35,1433,4
37,1433,3
43,1433,3
48,1433,4
77,1433,4
79,1433,4
2,1436,5
32,1436,5
37,1436,5
43,1436,4
66,1436,4
2,1446,5
13,1446,4
17,1446,5
26,1446,4
33,1446,2
39,1446,5
48,1446,5
63,1446,3
2,1453,4
5,1453,4
8,1453,4
26,1453,4
40,1453,4
50,1453,4
73,1453,4
2,1456,5
2,1456,3
11,1456,4
40,1456,4
55,1456,3
66,1456,4
2,1471,5
3,1471,4
13,1471,5
13,1471,4
19,1471,4
21,1471,5
26,1471,4
48,1471,5
63,1471,5
63,1471,2
2,1485,3
7,1485,4
9,1485,4
14,1485,3
16,1485,5
37,1485,5
43,1485,4
58,1485,4
59,1485,5
72,1485,5
2,1488,5
19,1488,3
48,1488,5
72,1488,4
79,1488,5
2,1499,4
11,1499,4
17,1499,4
19,1499,5
37,1499,5
48,1499,2
63,1499,4
81,1499,3
2,1516,5
5,1516,5
9,1516,5
26,1516,3
33,1516,5
35,1516,4
37,1516,5
2,1530,4
2,1530,3
7,1530,5
14,1530,5
48,1530,4
66,1530,4
2,1540,4
19,1540,3
37,1540,5
40,1540,4
72,1540,5
2,1542,5
3,1542,4
13,1542,1
14,1542,4
16,1542,4
34,1542,5
63,1542,5
69,1542,5
2,1569,3
9,1569,4
16,1569,4
20,1569,5
26,1569,4
2,1585,5
24,1585,5
35,1585,4
37,1585,5
63,1585,4
2,1597,3
5,1597,4
13,1597,3
24,1597,4
26,1597,3
27,1597,5
30,1597,4
40,1597,5
54,1597,5
69,1597,4
2,1604,5
5,1604,4
9,1604,3
24,1604,4
26,1604,4
37,1604,5
2,1609,4
8,1609,2
11,1609,4
21,1609,4
24,1609,4
37,1609,4
40,1609,4
48,1609,4
2,1621,2
11,1621,4
33,1621,4
40,1621,4
52,1621,4
66,1621,5
2,1622,1
3,1622,5
13,1622,5
53,1622,5
54,1622,5
2,1623,5
5,1623,5
20,1623,5
24,1623,5
32,1623,4
48,1623,4
2,1637,4
7,1637,5
21,1637,5
27,1637,5
35,1637,5
2,1640,4
11,1640,5
21,1640,4
27,1640,5
37,1640,4
48,1640,5
2,1653,4
5,1653,3
9,1653,3
11,1653,4
35,1653,4
2,1713,3
27,1713,5
27,1713,2
37,1713,5
40,1713,4
2,1715,4
21,1715,5
35,1715,5
58,1715,5
73,1715,5
78,1715,5
2,1724,4
3,1724,4
9,1724,5
20,1724,5
21,1724,5
43,1724,4
2,1751,5
9,1751,4
14,1751,4
19,1751,3
24,1751,5
27,1751,5
63,1751,5
2,1758,5
3,1758,3
14,1758,4
24,1758,4
24,1758,5
2,1763,4
20,1763,5
40,1763,4
63,1763,5
66,1763,4
69,1763,5
81,1763,4
2,1769,2
34,1769,5
48,1769,4
48,1769,5
53,1769,4
63,1769,5
63,1769,4
66,1769,4
2,1775,4
5,1775,4
20,1775,5
37,1775,5
40,1775,4
43,1775,4
54,1775,4
58,1775,4
2,1777,4
3,1777,3
14,1777,3
14,1777,5
17,1777,4
37,1777,5
40,1777,4
43,1777,4
50,1777,4
69,1777,4
2,1788,4
3,1788,4
14,1788,4
16,1788,4
24,1788,4
26,1788,4
27,1788,4
40,1788,4
54,1788,4
58,1788,4
69,1788,4
72,1788,4
2,1789,4
3,1789,5
21,1789,4
50,1789,5
53,1789,4
66,1789,5
73,1789,4
2,1791,4
9,1791,5
17,1791,5
26,1791,5
58,1791,3
59,1791,5
69,1791,5
2,1808,4
3,1808,4
24,1808,4
48,1808,4
72,1808,4
2,1824,5
14,1824,4
17,1824,5
20,1824,5
40,1824,5
48,1824,3
79,1824,5
2,1844,5
3,1844,5
17,1844,5
48,1844,5
50,1844,5
2,1875,5
33,1875,5
37,1875,5
39,1875,5
58,1875,5
69,1875,5
2,1877,2
8,1877,3
14,1877,5
40,1877,3
58,1877,4
69,1877,3
2,1901,5
8,1901,5
27,1901,5
37,1901,5
69,1901,5
81,1901,5
2,1903,5
3,1903,2
7,1903,5
9,1903,3
11,1903,5
11,1903,3
24,1903,5
26,1903,5
26,1903,4
66,1903,4
2,1905,5
2,1905,4
8,1905,5
19,1905,4
20,1905,5
24,1905,5
26,1905,5
37,1905,5
58,1905,5
66,1905,5
73,1905,5
2,1922,5
5,1922,4
14,1922,5
40,1922,5
52,1922,5
52,1922,2
72,1922,5
2,1945,5
3,1945,5
11,1945,5
37,1945,5
43,1945,5
79,1945,5
2,1957,3
3,1957,3
8,1957,3
26,1957,4
37,1957,3
2,1976,4
8,1976,5
11,1976,5
16,1976,5
26,1976,4
73,1976,3
3,1994,4
9,1994,4
11,1994,4
14,1994,4
26,1994,4
66,1994,5
3,1996,5
8,1996,4
9,1996,4
32,1996,5
33,1996,4
37,1996,4
43,1996,5
48,1996,4
59,1996,4
69,1996,5
77,1996,4
81,1996,4
3,2011,4
9,2011,5
26,2011,4
63,2011,4
66,2011,5
3,2020,5
7,2020,4
11,2020,4
24,2020,5
26,2020,5
54,2020,5
3,2044,5
9,2044,5
19,2044,5
40,2044,5
66,2044,5
3,2058,5
13,2058,5
17,2058,3
37,2058,5
52,2058,5
63,2058,5
3,2074,3
8,2074,4
14,2074,4
32,2074,5
58,2074,3
3,2093,4
7,2093,4
11,2093,3
32,2093,4
33,2093,3
35,2093,4
58,2093,3
72,2093,4
3,2095,5
20,2095,5
26,2095,4
54,2095,5
63,2095,5
3,2103,4
9,2103,4
21,2103,4
26,2103,4
58,2103,4
3,2106,4
8,2106,4
9,2106,4
17,2106,4
48,2106,3
55,2106,3
3,2110,4
9,2110,5
14,2110,4
35,2110,4
58,2110,4
3,2114,4
20,2114,5
30,2114,4
66,2114,4
69,2114,5
3,2125,4
5,2125,4
8,2125,3
11,2125,4
34,2125,4
35,2125,4
39,2125,4
54,2125,4
66,2125,4
73,2125,4
3,2139,4
5,2139,4
9,2139,4
11,2139,4
20,2139,5
59,2139,5
73,2139,3
78,2139,4
3,2154,1
11,2154,3
37,2154,5
77,2154,5
81,2154,5
3,2164,3
5,2164,4
9,2164,4
40,2164,3
58,2164,4
3,2200,5
11,2200,5
17,2200,5
21,2200,5
34,2200,5
37,2200,5
40,2200,5
52,2200,5
3,2209,5
5,2209,5
8,2209,4
27,2209,4
72,2209,4
3,2215,5
16,2215,5
17,2215,5
17,2215,2
20,2215,5
33,2215,5
34,2215,5
37,2215,5
66,2215,5
3,2220,5
19,2220,4
26,2220,5
35,2220,5
50,2220,5
3,2235,3
35,2235,3
52,2235,5
66,2235,3
77,2235,4
3,2238,5
9,2238,5
21,2238,5
35,2238,5
53,2238,5
3,2242,3
9,2242,3
24,2242,3
26,2242,3
37,2242,5
40,2242,4
43,2242,4
53,2242,4
58,2242,2
79,2242,3
3,2245,5
8,2245,5
11,2245,5
26,2245,5
66,2245,5
3,2249,5
3,2249,4
20,2249,5
24,2249,5
79,2249,5
3,2265,4
19,2265,4
26,2265,4
37,2265,3
37,2265,4
3,2268,3
17,2268,4
21,2268,3
33,2268,3
66,2268,3
79,2268,4
3,2274,5
20,2274,5
26,2274,5
33,2274,5
35,2274,5
48,2274,5
3,2277,3
5,2277,4
9,2277,2
14,2277,4
27,2277,4
39,2277,5
58,2277,3
73,2277,4
3,2329,4
9,2329,5
13,2329,5
14,2329,5
52,2329,4
58,2329,5
69,2329,5
79,2329,5
3,2335,5
5,2335,4
9,2335,5
11,2335,4
40,2335,5
58,2335,5
69,2335,3
3,2339,4
13,2339,5
14,2339,4
26,2339,4
34,2339,4
35,2339,4
50,2339,4
3,2362,4
5,2362,4
9,2362,5
26,2362,3
35,2362,5
66,2362,4
3,2364,3
8,2364,2
26,2364,3
50,2364,5
81,2364,1
3,2397,5
9,2397,3
35,2397,5
40,2397,5
81,2397,5
3,2411,5
5,2411,5
27,2411,5
63,2411,5
63,2411,4
3,2439,3
3,2439,5
13,2439,5
14,2439,3
21,2439,5
24,2439,4
24,2439,5
73,2439,4
81,2439,5
3,2445,4
11,2445,5
37,2445,5
40,2445,5
66,2445,4
3,2454,4
13,2454,5
14,2454,5
20,2454,5
26,2454,4
40,2454,4
3,2458,3
5,2458,3
20,2458,4
66,2458,4
66,2458,5
3,2501,5
9,2501,5
14,2501,5
40,2501,5
58,2501,4
3,2503,4
7,2503,5
17,2503,4
48,2503,4
66,2503,4
3,2517,5
13,2517,5
39,2517,5
43,2517,4
53,2517,5
58,2517,4
63,2517,5
3,2519,4
34,2519,4
43,2519,4
55,2519,4
63,2519,4
66,2519,4
3,2525,5
7,2525,5
27,2525,5
34,2525,5
39,2525,5
73,2525,5
3,2543,5
17,2543,4
21,2543,4
50,2543,4
72,2543,4
3,2553,5
13,2553,5
19,2553,5
27,2553,2
54,2553,5
63,2553,3
3,2567,5
9,2567,5
19,2567,4
37,2567,5
48,2567,5
78,2567,5
3,2584,4
9,2584,1
17,2584,3
20,2584,5
26,2584,3
77,2584,4
3,2614,4
20,2614,5
32,2614,5
58,2614,4
66,2614,4
3,2667,4
5,2667,5
20,2667,5
26,2667,5
33,2667,4
35,2667,5
37,2667,4
53,2667,5
58,2667,4
58,2667,5
3,2671,3
7,2671,5
8,2671,3
21,2671,4
63,2671,4
66,2671,4
72,2671,4
3,2676,4
8,2676,5
9,2676,5
14,2676,4
50,2676,4
58,2676,4
3,2687,3
7,2687,3
14,2687,3
39,2687,5
48,2687,3
53,2687,4
66,2687,4
69,2687,4
72,2687,3
3,2697,4
20,2697,5
24,2697,3
63,2697,2
78,2697,4
3,2717,3
14,2717,4
19,2717,3
40,2717,4
69,2717,4
3,2719,4
5,2719,4
9,2719,4
35,2719,4
58,2719,4
78,2719,4
3,2732,4
20,2732,4
58,2732,4
66,2732,4
78,2732,4
3,2736,4
9,2736,3
11,2736,5
13,2736,4
13,2736,5
32,2736,5
40,2736,5
50,2736,5
55,2736,5
72,2736,5
73,2736,5
81,2736,5
3,2749,5
8,2749,4
9,2749,5
11,2749,5
14,2749,4
21,2749,5
33,2749,4
37,2749,5
53,2749,3
55,2749,4
58,2749,4
66,2749,5
79,2749,5
3,2766,3
8,2766,4
9,2766,5
13,2766,2
17,2766,5
19,2766,4
73,2766,5
3,2783,3
5,2783,4
9,2783,5
11,2783,4
14,2783,4
3,2790,5
24,2790,5
27,2790,5
39,2790,5
63,2790,5
66,2790,5
81,2790,5
5,2799,5
7,2799,5
11,2799,4
21,2799,4
73,2799,5
5,2802,5
16,2802,5
16,2802,4
26,2802,4
37,2802,5
53,2802,4
53,2802,5
58,2802,4
66,2802,4
73,2802,5
5,2826,5
21,2826,4
26,2826,4
34,2826,4
