0,1,2,3,4,5
노적봉예술공원,4.3,656,"미술관, 공원 및 예술",공원,전라남도 목포시 대의동2가 1-110
삼학도공원,4.4,218,공원,공원,전라남도 목포시 산정동
목포진역사공원,4.4,168,공원,공원,전라남도 목포시 만호동 1-126
목포 고하도 전망대,4.4,571,,전망대,전라남도 목포시 달동 산188-4
옛 목포구(木浦口) 등대,4.4,153,등대,명승지,전라남도 해남군 화원면 매봉길 582
노을공원,4.3,612,공원,공원,전라남도 목포시 산정동 1110-9
장미의거리,4.0,187,,박물관,전라북도 군산시 장미동 해망로 232
고하도이충무공유적,4.0,216,,역사적 장소,전라남도 목포시 달동 230
목포 해상케이블카 유달산 승강장,4.5,890,,산악 케이블카,전라남도 목포시 죽교동 산39-29
유달산 낙조대,4.3,245,,전망대,전라남도 목포시 죽교동
난영공원,4.2,179,공원,공원,전라남도 목포시 산정동
다도해해상국립공원 서부사무소,4.3,111,공원,건물시설관리업체,전라남도 목포시 옥암동 1091-5
여수해상케이블카 돌산탑승장,4.2,9875,탁 트인 풍경을 볼 수 있는 케이블카,산악 케이블카,전라남도 여수시 돌산읍 돌산로 3600-1
여수해양공원,4.2,2638,공원,공원,전라남도 여수시 중앙동 246-1
순천만 용산전망대,4.6,1681,습지,전망대,전라남도 순천시 해룡면 농주리 476-2
여수 자산공원,4.2,611,공원 및 단풍,공원,전라남도 여수시 종화동
방죽포해수욕장,4.0,877,해변 및 야영,관광 명소,전라남도 여수시 돌산읍 향일암로 804-6
장도,4.6,161,예술,관광 명소,전라남도 여수시 웅천동 산275-1
모사금 해수욕장,4.2,210,해변,놀이터,전라남도 여수시 오천동 908
배알도수변공원,4.2,856,공원 및 야영,공원,전라남도 광양시 태인동 1630-1
광양와인동굴,3.1,930,포도주,관광 명소,전라남도 광양시 광양읍 강정길 21
여수세계박람회 스카이타워,4.0,1385,,전망대,전라남도 여수시 덕충동 박람회길 1 KR
고흥우주발사전망대,4.2,1531,,전망대,전라남도 고흥군 영남면 남열리 산70-2 KR
