,0,1,2,3,4,5,6,7
56,298,대구,가산산성,4.3,410,사적 및 야영,관광 명소,경상북도 칠곡군 가산면 가산리 산 98-1
57,299,대구,방천시장,4.0,873,예술,시장,대구광역시 중구 대봉1동 달구벌대로446길 2
58,300,대구,망우당공원(忘憂堂公園),4.1,460,공원,공원,대구광역시 동구 효목동 234-34
59,301,대구,향촌문화관,4.4,736,박물관,지역사 박물관,대구광역시 중구 중앙대로 449
60,302,대구,대한불교조계종 선본사(禪本寺),4.4,478,불교 및 사원,불교사찰,경상북도 경산시 와촌면 대한리 587
61,303,대구,고산골 공룡공원,4.2,2050,공원,공원,대구광역시 남구 봉덕2동 1586-4
62,304,대구,아르떼 수성랜드,4.0,1267,"놀이기구, 게임, 스케이트장이 있는 놀이공원",놀이공원,대구광역시 수성구 무학로 42
63,305,대구,도동 측백나무 숲,4.0,323,자연,자연보호구역,대구광역시 동구 도동 팔공로28길 93-11
64,306,대구,봉산문화회관,4.2,502,"예술, 뮤지컬 및 연극",문화센터,대구광역시 중구 봉산문화길 77
65,307,대구,이상화고택,4.2,424,,역사적 명소,대구광역시 중구 서성로 6-1
66,308,대구,앞산 빨래터공원,4.2,828,공원,공원,대구광역시 남구 대명동 1501-2
67,309,대구,대한불교조계종 대견사(大見寺),4.4,734,불교,불교사찰,대구광역시 달성군 유가면 휴양림길 232
68,310,대구,침산공원,4.3,330,공원,공원,대구광역시 북구 침산남로9길 118
69,311,대구,은해사 거조암 영산전,4.6,237,불교,역사적 장소,경상북도 영천시 청통면 신원리 622
70,312,대구,와룡산,4.3,52,,산봉우리,대구광역시
71,313,대구,봉무나비생태원,4.4,178,,생태 공원,대구광역시 동구 불로.봉무동 산134-3
72,314,대구,성 베네딕도회 왜관 수도원,4.7,258,수도원 및 대수도원,수도원,경상북도 칠곡군 왜관읍 관문로 61
73,315,대구,송림사(松林寺),4.4,524,사원 및 불교,불교사찰,경상북도 칠곡군 동명면 송림길 73
74,316,대구,에코테마파크대구숲,3.6,167,공원,테마파크,대구광역시 달성군 가창면 가창로 1003
75,317,대구,대구방짜유기박물관,4.1,317,박물관,문화유산 박물관,대구광역시 동구 도장길 29
76,318,대구,달성 하목정,4.0,223,,역사적 장소,대구광역시 달성군 하빈면 하목정길 56-10 (하산리)
77,319,대구,옻골마을,4.4,86,기념건축물,문화 유산 보존,대구광역시 동구 옻골로 199
78,320,대구,용연사(龍淵寺),4.4,493,불교 및 사원,불교사찰,대구광역시 달성군 옥포면 반송리 882
79,321,대구,2·28기념중앙공원,4.2,2667,공원,기념공원,대구광역시 중구 동성로2길 80
80,322,대구,하중도 유채꽃단지,4.2,520,,공원,대구광역시 북구 노곡동 681-1
81,323,대구,청라언덕,4.4,1013,건축 및 역사,지하철역,대구광역시
82,324,대구,경북대학교 박물관,4.1,83,박물관,박물관,대구광역시 북구 대학로 80
83,325,대구,이현공원(梨峴公園),4.4,192,공원,공원,대구광역시 서구 이현동
84,326,대구,팔공산 수태골,4.2,335,단풍,관광 명소,대구광역시 동구 용수동
