0,1,2,3,4,5
칠연계곡,4.3,275,야영,관광 명소,전라북도 무주군 안성면 공정리
전라감영,4.4,274,,역사적 장소,전라북도 전주시 완산구 중앙동1가 4-1
부안영상테마파크,2.9,347,,테마파크,전라북도 부안군 변산면 격포로 309-64
전주한지박물관,4.3,257,인터랙티브 한지 전시관,박물관,전라북도 전주시 덕진구 팔복동 팔복로 59
대아 수목원,4.3,625,,수목원,전라북도 완주군 동상면 대아수목원로 94-34
옥정호 구절초테마공원,4.2,1620,공원,공원,전라북도 정읍시 산내면 매죽리
순천만습지,4.4,9491,자연 및 조류 보호 구역,생태 공원,전라남도 순천시 순천만길 513-25
죽녹원,4.4,9955,거대한 대나무 숲 속의 산책로,휴양림,전라남도 담양군 담양읍 죽녹원로 119
낙안읍성민속마을,4.2,5530,역사적인 요새에 자리한 문화 명소,관광 명소,전라남도 순천시 낙안면 평촌리 6-4
오동도,4.4,299,동백꽃이 피는 경치 좋은 섬,섬,여수시
순천만국가정원,4.5,6128,독특한 조경지를 자랑하는 정원,정원,전라남도 순천시 국가정원1호길 152-55
보성녹차밭 대한다원,4.3,2362,산책할 수 있는 드넓은 녹차 밭,농장,전라남도 보성군 보성읍 녹차로 763-65
홍도,4.2,140,자연 보호구역인 바위산,섬,신안군
돌산공원,4.3,2713,찻집이 있는 탁 트인 전망의 넓은 공원,공원,전라남도 여수시 돌산읍 우두리 산1
여수해상케이블카 돌산탑승장,4.2,9874,탁 트인 풍경을 볼 수 있는 케이블카,산악 케이블카,전라남도 여수시 돌산읍 돌산로 3600-1
대한불교조계종 백양사(白羊寺),4.4,2443,숲 속에 자리잡은 사찰,불교사찰,전라남도 장성군 북하면 백양로 1239
대한불교조계종 향일암,4.5,5192,바다 경관을 만끽할 수 있는 불교 사찰,불교사찰,전라남도 여수시 돌산읍 향일암로 1
한국불교태고종 선암사,4.5,1361,그림 같은 다리로 유명한 사찰,불교사찰,전라남도 순천시 승주읍 선암사길 450
메타세쿼이아가로수길,4.1,5698,,관광 명소,전라남도 담양군 담양읍 메타세쿼이아로 12
여수해양레일바이크,3.8,2951,여수 해변가를 따라 달리는 레일바이크,관광 명소,전라남도 여수시 만흥동 141-2
아쿠아플라넷 여수,4.1,8515,터치풀과 쇼를 즐길 수 있는 수영장,수족관,전라남도 여수시 오동도로 61-11
대흥사,4.4,1532,사원 및 불교,불교사찰,전라남도 해남군 삼산면 대흥사길 400
섬진강기차마을,4.1,2820,B&B 숙박용으로 개조된 기차,관광 명소,전라남도 곡성군 오곡면 기차마을로 232
돌산대교,4.3,460,화려한 야간 조명을 자랑하는 사장교,다리,전라남도 여수시 돌산읍 우두리 816
이순신광장,4.1,8024,공원,공원,전라남도 여수시 중앙동 383
미황사,4.5,1111,경치가 좋은 불교 사원,불교사찰,전라남도 해남군 송지면 미황사길 164
메타프로방스,3.9,3392,상점과 카페가 있는 프랑스 테마의 마을,관광 명소,전라남도 담양군 담양읍 학동리 586-1
목포해상케이블카 북항승강장,4.3,3168,,케이블카운영업체,전라남도 목포시 해양대학로 240 KR
대한다원 보성녹차밭,4.4,1626,전망대가 있는 다원,농장,전라남도 보성군 보성읍 봉산리 1291 KR
신안 퍼플섬,4.0,803,,관광 명소,전라남도 신안군 안좌면 소곡리 597-1
태평염전,4.0,1198,방문자 시설을 갖춘 소금 농장,관광 명소,전라남도 신안군 증도면 대초리
목포 갓바위 (천연기념물 제500호),4.2,1767,바다 앞 사암 바위,관광 명소,전라남도 목포시 용해동 산86-24
와온해변,4.3,106,해변,해변,순천시
하멜등대,4.1,1468,등대,관광 명소,전라남도 여수시 종화동 458-7
회산백련지,4.5,293,,관광 명소,전라남도 무안군 일로읍 백련로
국립해양문화재연구소,4.6,602,박물관,해양 박물관,전라남도 목포시 용해동 8
