0,1,2
월명동수련원,문화센터,충청남도 금산군 진산면 월명동길 90
대전근현대사전시관(구 충남도청),박물관,대전광역시 중구 선화동
동춘당공원,공원,대전 대덕구 동춘당로 80 (송촌동)
정지용 시인 생가,관광 명소,충청북도 옥천군 옥천읍 하계리
테미오래,문화유산 박물관,대전광역시 중구 대흥동 보문로205번길 27
보문산성,관광 명소,대전광역시 중구 대사동 산3-45
보라매공원,시티 공원,대전광역시 서구 둔산동
슬픈연가 촬영지,관광 명소,대전광역시 동구 대청동 산3-7
만인산휴게소,휴게소,대전광역시 동구 산내동 460-1
목척교,다리,대전광역시 동구 중동
대청댐물문화관,박물관,대전광역시 대덕구 미호동 1-5
옛터민속박물관,박물관,대전광역시 동구 산내로 321-35
테미공원,공원,대전광역시 중구 대흥동
대청호반자연생태공원,공원,대전광역시 동구 추동 328
대둔산자연휴양림,공원,충청남도 금산군 진산면 대둔산로 6
대전어린이회관,어린이 놀이시설,대전광역시 유성구 월드컵대로 32 대전월드컵경기장 동관 1층
83타워,전망대,대구광역시 달서구 두류동 두류공원로 200
앞산,산봉우리,대구광역시
팔공산,산봉우리,군위군
대구수목원,수목원,대구광역시 달서구 화암로 342
대구미술관,미술관,대구광역시 수성구 삼덕동 미술관로 40 대구미술관
두류공원,시티 공원,대구광역시 달서구 성당동 154
김광석 다시그리기길,관광 명소,대구광역시 중구 대봉동
대구 팔공산 갓바위,종교적 성지,대구광역시 동구 갓바위로 229
대구약령시한의약박물관,지역사 박물관,대구광역시 중구 달구벌대로415길 49
이월드,테마파크,대구광역시 달서구 두류공원로 200
국립대구박물관,국립박물관,대구광역시 수성구 청호로 321
비슬산,산봉우리,대구광역시
네이처파크,동물원,대구광역시 달성군 가창면 가창로175길
팔공산케이블카,산악 케이블카,대구광역시 동구 용수동 팔공산로185길 51
송해공원,공원,대구광역시 달성군 옥포면 기세리 306
달성공원,공원,대구광역시 중구 달성공원로 35
계산성당,천주교 성당,대구광역시 중구 서성로 10
경상감영공원(慶尙監營公園),공원,대구광역시 중구 경상감영길 99
