0,1,2
디아크문화관,문화센터,대구광역시 달성군 다사읍 강정본길 57
동촌유원지,공원,대구광역시 동구 효목1동 효동로6길
우포늪,자연보호구역,"Yibang-myeon/Yueu-myeon/Daehap-myeon areas of Changnyeong-gun, Gyeongsangnam-do, 창녕군 유어면"
은해사(銀海寺),불교사찰,경상북도 영천시 청통면 청통로 951
마비정벽화마을,관광 명소,대구광역시 달성군 화원읍 본리리
국립대구과학관,과학박물관,대구광역시 달성군 유가면 테크노대로6길 20
대구아쿠아리움,수족관,대구광역시 동구 동부로 149
청도 프로방스,관광 명소,경상북도 청도군 화양읍 이슬미로 272-23
강정보,관광 명소,대구광역시 달성군 다사읍 죽곡리
국채보상운동기념공원,기념공원,대구광역시 중구 국채보상로 670
대구근대역사관,지역사 박물관,대구광역시 중구 경상감영길 67
비슬산 자연휴양림,휴양림,대구광역시 달성군 유가면 일연선사길 99
월광수변공원,공원,대구광역시 달서구 도원동 952
파계사(把溪寺),불교사찰,대구광역시 동구 중대동 7
대구예술발전소,아트 센터,대구광역시 중구 달성로22길 31-12
안지랑곱창골목,관광 명소,대구광역시 남구 대명9동 대명로36길
도동서원(道東書院),역사적 장소,대구광역시 달성군 구지면 구지서로 726
대구섬유박물관,박물관,대구광역시 동구 팔공로 227
아양교,다리,대구광역시 동구 신암동
옻골마을 돌담길,관광 명소,대구광역시 동구 해안동 옻골로
앞산전망대,케이블카 승강장,대구광역시 남구 대명9동 앞산순환로 574-114
대구오페라하우스,오페라 극장,대구광역시 북구 호암로 15
칠성종합시장,시장,대구광역시 북구 칠성동1가 276
아양기찻길,관광 명소,대구광역시 동구 지저동 930
대구시민안전테마파크,교육센터,대구광역시 동구 용수동 89-13
서문시장 야시장,야시장,대구광역시 중구 대신동 큰장로26길
삼성현 역사문화공원,박물관,경상북도 경산시 남산면 삼성현공원로 59
남평문씨 본리세거지(南平文氏 本里世居地),역사적 장소,대구광역시 달성군 화원읍 인흥3길 16 (본리리)
봉무공원(鳳舞公園),공원,대구광역시 동구 봉무동 팔공로50길 66
성주 한개마을,역사적 명소,경상북도 성주군 월항면 대산리 67
유가사(瑜伽寺),불교사찰,대구광역시 달성군 유가면 양리 144
동산계곡,관광 명소,경북 군위군 부계면 동산리 일대
불로동 고분군,역사적 장소,대구광역시 동구 불로동 335
치산계곡,관광 명소,경상북도 영천시 신녕면 치산리
화원유원지,관광 명소,대구광역시 달성군 화원읍 사문진로1길 40-12
군위 아미타여래삼존 석굴,역사적 장소,경상북도 군위군 부계면 남산리
가산산성,관광 명소,경상북도 칠곡군 가산면 가산리 산 98-1
방천시장,시장,대구광역시 중구 대봉1동 달구벌대로446길 2
망우당공원(忘憂堂公園),공원,대구광역시 동구 효목동 234-34
향촌문화관,지역사 박물관,대구광역시 중구 중앙대로 449
대한불교조계종 선본사(禪本寺),불교사찰,경상북도 경산시 와촌면 대한리 587
고산골 공룡공원,공원,대구광역시 남구 봉덕2동 1586-4
아르떼 수성랜드,놀이공원,대구광역시 수성구 무학로 42
도동 측백나무 숲,자연보호구역,대구광역시 동구 도동 팔공로28길 93-11
봉산문화회관,문화센터,대구광역시 중구 봉산문화길 77
이상화고택,역사적 명소,대구광역시 중구 서성로 6-1
앞산 빨래터공원,공원,대구광역시 남구 대명동 1501-2
대한불교조계종 대견사(大見寺),불교사찰,대구광역시 달성군 유가면 휴양림길 232
침산공원,공원,대구광역시 북구 침산남로9길 118
은해사 거조암 영산전,역사적 장소,경상북도 영천시 청통면 신원리 622
봉무나비생태원,생태 공원,대구광역시 동구 불로.봉무동 산134-3
성 베네딕도회 왜관 수도원,수도원,경상북도 칠곡군 왜관읍 관문로 61
송림사(松林寺),불교사찰,경상북도 칠곡군 동명면 송림길 73
에코테마파크대구숲,테마파크,대구광역시 달성군 가창면 가창로 1003
대구방짜유기박물관,문화유산 박물관,대구광역시 동구 도장길 29
달성 하목정,역사적 장소,대구광역시 달성군 하빈면 하목정길 56-10 (하산리)
용연사(龍淵寺),불교사찰,대구광역시 달성군 옥포면 반송리 882
2·28기념중앙공원,기념공원,대구광역시 중구 동성로2길 80
하중도 유채꽃단지,공원,대구광역시 북구 노곡동 681-1
청라언덕,지하철역,대구광역시
이현공원(梨峴公園),공원,대구광역시 서구 이현동
팔공산 수태골,관광 명소,대구광역시 동구 용수동
대왕암공원,공원,울산광역시 동구 등대로 95
태화강 국가정원,공원,울산광역시 중구 태화강 국가정원길 154
간절곶(艮絶串),관광 명소,울산광역시 울주군 서생면 대송리
