0,1,2
복천박물관,고고학 박물관,부산광역시 동래구 복천로 63
드림오픈세트장 죽성성당,관광 명소,부산광역시 기장군 기장읍 죽성리 330-1
대저생태공원,공원,부산광역시 강서구 대저1동 2314-11
금정산성 북문,성곽,부산광역시 금정구 금성동
낙동강하구 에코센터,조류 관찰 지역,부산광역시 사하구 낙동남로 1240
온천천,관광 명소,부산광역시 연제구 연산9동
대한불교조계종 석불사,불교사찰,부산광역시 북구 만덕고개길 143-79
아홉산숲,수목원,부산광역시 기장군 철마면 미동길 37-1
부산 엑스더스카이,전망대,부산광역시 해운대구 달맞이길 30 98~100층 LCT랜드마크타워
허심청 온천탕,스파,부산광역시 동래구 금강공원로20번길 23
금강공원,공원,부산광역시 동래구 우장춘로 155
해운대 전통시장,시장,부산광역시 해운대구 구남로41번길 22-1
어린이대공원,공원,부산광역시 부산진구 새싹로 295
국립부산과학관,과학박물관,부산광역시 기장군 동부산관광6로 59
김해가야테마파크,테마파크,경상남도 김해시 가야테마길 161
부산영화체험박물관,박물관,부산광역시 중구 대청로126번길 12
초량 이바구길,관광 명소,부산광역시 동구 초량상로 49
보수동책방골목,관광 명소,부산광역시 중구 보수동1가
국립김해박물관,국립박물관,경상남도 김해시 가야의길 190
영도대교,다리,부산광역시 중구 남포동1가
암남공원,공원,부산광역시 서구 암남동 산193
동래읍성지,역사적 장소,부산광역시 동래구 안락동
기장시장,시장,부산광역시 기장군 기장읍 대라리 64-2
세븐럭카지노 부산 롯데점,카지노,부산광역시 부산진구 가야대로 772
고은사진미술관,미술관,부산광역시 해운대구 해운대로452번길 16
부전시장,재래시장,부산광역시 부산진구 중앙대로783번길 23
부산근대역사관,역사 박물관,부산광역시 중구 대청로 104
송도 용궁구름다리,다리,부산광역시 서구 암남동 703
다대포 꿈의 낙조분수,공원,부산광역시 사하구 다대동 몰운대1길 14
부산대교,다리,부산광역시 영도구 대교동
트릭아이뮤지엄 부산,미술관,부산광역시 중구 대청로126번길 12 2층
F1963,문화센터,부산광역시 수영구 구락로123번길 20
영도등대,관광 명소,부산광역시 영도구 동삼동 1054
렛츠런파크 부산경남,테마파크,부산광역시 강서구 가락대로 929
깡깡이 예술마을,관광 명소,부산광역시 영도구 대평북로 36
부산해양자연사박물관,자연사 박물관,부산광역시 동래구 우장춘로 175
수로왕릉,고분/왕릉,경상남도 김해시 가락로93번길 26
아미산 전망대,전망대,부산광역시 사하구 다대낙조2길 77
대한불교천태종 삼광사,불교사찰,부산광역시 부산진구 초읍천로43번길 77
오륙도 해맞이공원,공원,부산광역시 남구 용호2동 산198
매미성,관광 명소,경상남도 거제시 장목면 복항길
무등산,산봉우리,광주광역시
무등산 국립공원,국립공원,광주광역시 북구 무등로 1550
광주광역시립미술관,미술관,광주광역시 북구 하서로 52
1913 송정역시장,재래시장,광주광역시 광산구 송정로16번길 38
소쇄원 (瀟灑園),정원,전라남도 담양군 남면 소쇄원길 17
국립광주박물관,국립박물관,광주광역시 북구 하서로 110
광주패밀리랜드,놀이공원,광주광역시 북구 우치로 677
펭귄마을,관광 명소,"7 Cheonbyeonjwa-ro, 446 beon-gil, 남구 광주광역시"
국립아시아문화전당,문화센터,광주광역시 동구 문화전당로 38
5·18기념공원,기념공원,광주광역시 서구 상무민주로 61
무등산 서석대,관광 명소,광주광역시 동구 용연동 산354-1
국립광주과학관,과학박물관,광주광역시 북구 첨단과기로 235
원효사,불교사찰,광주광역시 북구 무등로 1514-35
무등산 입석대,관광 명소,전라남도 화순군 이서면 영평리
광주호 호수생태원,생태 공원,광주광역시 북구 충효샘길 7
세량지,관광 명소,전라남도 화순군 화순읍 세량리 97
풍암 호수공원,공원,광주광역시 서구 풍암동 460
우치공원동물원,동물원,광주광역시 북구 생용동 산138
의재미술관,미술관,광주광역시 동구 의재미술관
광주광역시 우치공원,동물원,광주광역시 북구 우치로 677
사직전망타워,전망대,광주광역시 남구 사직길 49 (사동)
대인시장,재래시장,광주광역시 동구 제봉로194번길 7-1
무등산 지산유원지,관광 명소,광주광역시 동구 지산동 산63-1
담양 식영정,역사적 장소,전라남도 담양군 남면 지곡리 산75-1
장성 필암서원,역사적 명소,전라남도 장성군 황룡면 필암서원로 184
규봉암,불교사찰,전라남도 화순군 이서면 도원길 40-28
영산포 홍어거리,음식점,전라남도 나주시 영산동 252-2
역사문화공원,공원,광주광역시 광산구 신창동
화순적벽 자연보호구역,자연보호구역,전라남도 화순군 이서면 야사리 197
쌍암공원,공원,광주광역시 광산구 첨단중앙로182번길 39 (쌍암동)
화순 아쿠아나 금호리조트,워터파크,전라남도 화순군 북면 옥리 510-1
전일빌딩245,역사적 명소,광주광역시 동구 금남로 245
광주역사민속박물관,박물관,광주광역시 북구 서하로 48-25
홍길동테마파크,테마파크,전라남도 장성군 황룡면 홍길동로 431
빛가람전망대,관광 명소,전라남도 나주시 금천면 호수로 77
빛가람호수공원,공원,전라남도 나주시 호수 로 77
증심사,불교사찰,광주광역시 동구 증심사길 177
무등산편백자연휴양림,휴양림,전라남도 화순군 이서면 안심리 산168
우일선 선교사 사택,관광 명소,"KR, 20 제중로47번길 남구 광주광역시"
송산유원지,관광 명소,광주광역시 광산구 송산동 195
광주 예술의거리,관광 명소,광주광역시 동구 충장동 62-3
5.18자유공원,공원,광주광역시 서구 치평동 1161-6
광주시립미술관 하정웅미술관,미술관,광주광역시 서구 상무대로 1165
나한산 만연사(羅漢山 萬淵寺),불교사찰,전라남도 화순군 화순읍 동구리 179
무각사,불교사찰,광주광역시 서구 운천로 230
청춘발산마을,관광 명소,광주광역시 서구 천변좌로108번길 17-13
월봉서원,역사적 장소,광주광역시 광산구 광산동 452
운천저수지,관광 명소,광주광역시 서구 쌍촌동 869-9
5.18 민주광장,역사적 명소,광주광역시 동구 금남로1가 금남로
광주비엔날레,박물관,광주광역시 북구 용봉동 비엔날레로 111
동구리 호수공원,공원,전라남도 화순군 화순읍 동구리 122-1
드들강솔밭유원지,관광 명소,전라남도 나주시 남평읍 남석리
ACC 하늘마당,공원,광주광역시 동구 충장동 47-2
광주김치타운,박물관,광주광역시 남구 김치로 60
월계동 장고분,역사적 장소,광주광역시 광산구 첨단2동 월계로 155
광주 포충사,역사적 장소,광주광역시 남구 포충로 767 (원산동)
광주어린이대공원,놀이공원,광주광역시 북구 운암동 하서로 50
