name,rate_avg,num_reviews,detail
노적봉예술공원,4.3,656,"미술관, 공원 및 예술"
삼학도공원,4.4,218,공원
목포진역사공원,4.4,168,공원
목포 고하도 전망대,4.4,571,
옛 목포구(木浦口) 등대,4.4,153,등대
노을공원,4.3,612,공원
장미의거리,4.0,187,
고하도이충무공유적,4.0,216,
목포 해상케이블카 유달산 승강장,4.5,890,
유달산 낙조대,4.3,245,
난영공원,4.2,179,공원
다도해해상국립공원 서부사무소,4.3,111,공원
여수해상케이블카 돌산탑승장,4.2,9875,탁 트인 풍경을 볼 수 있는 케이블카
여수해양공원,4.2,2638,공원
순천만 용산전망대,4.6,1681,습지
여수 자산공원,4.2,611,공원 및 단풍
방죽포해수욕장,4.0,877,해변 및 야영
장도,4.6,161,예술
모사금 해수욕장,4.2,210,해변
배알도수변공원,4.2,856,공원 및 야영
광양와인동굴,3.1,930,포도주
여수세계박람회 스카이타워,4.0,1385,
고흥우주발사전망대,4.2,1531,
교동시장,3.9,619,"해산물, 시장 및 쇼핑"
웅천친수공원,4.4,1777,"공원, 야영 및 해변"
빅오쇼,4.3,1008,
거문도등대,4.4,148,등대 및 건축
오동도 등대,4.3,751,등대
구봉산 전망대,4.4,775,
여수 하멜전시관,3.9,128,등대
전남도립미술관,4.5,178,미술관 및 예술
만성리 검은모래해변,4.0,348,해변
여수예술랜드 미디어아트 조각공원,3.7,1068,공원
오동도,4.3,4142,
아르떼뮤지엄 여수,4.6,888,박물관 및 예술
여수 서시장,4.0,2415,해산물
팔영산 자연휴양림,4.2,152,야영
망덕포구,4.1,303,
여수 흥국사,4.2,274,사원
경상남도수목원,4.4,1448,단풍
진양호동물원,3.9,1349,동물원
진주시립 이성자 미술관,4.1,148,"미술관, 예술 및 박물관"
진양호전망대,4.5,241,
월아산 숲속의 진주,4.6,101,
LH 토지주택박물관,4.3,133,박물관
와인갤러리,4.1,310,포도주
의령 의병박물관,4.3,241,박물관
의령구름다리,4.3,478,
남가람공원,4.4,556,공원
쇠목재,4.4,130,
석류공원,4.1,178,공원 및 석류나무
망진산봉수대,4.4,159,
물초울공원,4.6,123,공원
진주레일바이크 남강레저산업,4.2,133,
진주시음악분수대,4.4,607,음악
진주교,4.1,247,
수암사,3.9,145,사원
의령 솥바위,4.2,332,
진주 청곡사 영산회괘불탱,4.4,174,
남강댐 물문화관,4.1,220,
응석사,4.2,104,
마애사,4.1,262,
진주청동기문화박물관,4.0,139,박물관
진주시어린이교통청소년모험공원,4.4,153,공원
성철대종사생가,4.2,328,
단성묵곡생태숲,4.5,108,공원
포항운하,4.2,445,운하
구룡포 일본인가옥거리,3.9,5036,
칠포해수욕장,4.1,120,"재즈, 야영 및 해변"
호미곶 상생의 손,4.3,2586,
오어사(吾魚寺),4.3,1252,사원
구룡포근대역사관,3.8,915,역사
호미반도 해안둘레길 2코스(선바우길),4.4,312,
하옥계곡,4.5,222,야영
사방기념공원,4.4,456,공원
내연산 12폭포,4.5,224,폭포
포항 철길숲,4.7,119,공원
청송 얼음골,4.3,1274,"빙벽 등반, 야영 및 등반"
이가리 닻 전망대,4.3,1502,
포스코 역사관,4.4,719,박물관
보현산천문대,4.3,105,"관측소, 과학관 및 야영"
연오랑세오녀 테마공원,4.4,2333,공원
상생폭포,4.4,243,폭포
구룡포 과메기 문화관,4.3,797,
장길리복합낚시공원,4.1,1131,공원
도구해수욕장,4.0,218,해변
절골계곡,4.5,366,단풍
영일교,4.3,1202,
해오름 전망대,4.3,197,
주산지(注山池),4.2,1927,
불의 정원,4.4,816,공원
청송자연휴양림,4.3,107,자연 및 야영
하선대(下仙臺),4.2,486,
장사상륙작전 전승기념관,4.5,240,
보경사계곡,4.3,906,
중명자연생태공원,4.4,491,야영
형산강 체육공원,4.1,140,공원
도음산산림문화수련장,4.6,369,
장기유배문화체험촌,4.1,172,
송도솔밭도시숲,4.4,456,공원
영일대 해상누각,4.4,748,
로보라이프뮤지엄,4.2,131,박물관
