0,1,2,3
복천박물관,4.3,473,박물관
드림오픈세트장 죽성성당,4.3,227,
대저생태공원,4.2,1683,조류 관찰과 형형색색의 계절 꽃
금정산성 북문,4.4,975,산책로와 전망을 즐길 수 있는 산성
낙동강하구 에코센터,4.4,871,"습지, 공원, 철새 및 자연"
온천천,4.4,347,강
대한불교조계종 석불사,4.5,333,조각이 새겨진 절벽 옆 사원
아홉산숲,4.0,4256,숲
부산 엑스더스카이,4.3,349,
허심청 온천탕,4.3,3312,식당을 갖춘 대형 온천 스파
금강공원,4.4,624,공원
해운대 전통시장,4.1,2002,시장
어린이대공원,4.5,1748,동물원 및 공원
국립부산과학관,4.5,1938,과학관 및 어린이 박물관
김해가야테마파크,4.1,2941,고대 문화를 주제로 한 놀이 마을
부산영화체험박물관,4.2,708,박물관
초량 이바구길,4.2,799,가파른 모노레일이 있는 예스러운 골목길
보수동책방골목,4.1,3207,서점이 늘어선 좁은 골목
국립김해박물관,4.3,1410,가야 문화를 보여주는 박물관
영도대교,4.4,540,매일 도개 시간을 운영하는 명소인 다리
암남공원,4.4,498,공원
동래읍성지,4.3,387,성지와 박물관이 있는 고대 유적 단지
기장시장,3.9,7182,해산물로 유명한 활기찬 시장
세븐럭카지노 부산 롯데점,3.9,650,테이블과 슬롯머신이 있는 호텔 카지노
고은사진미술관,4.3,259,"미술관, 박물관 및 예술"
부전시장,4.1,6004,농수산물과 육류를 판매하는 인기 시장
부산근대역사관,4.2,986,부산 역사 전시
송도 용궁구름다리,4.2,530,
다대포 꿈의 낙조분수,4.4,4005,음악과 함께 하는 조명 분수 쇼
부산대교,4.4,195,
트릭아이뮤지엄 부산,4.1,488,착시 효과를 체험할 수 있는 체험형 예술 박물관
F1963,4.4,3285,예술 및 건축
영도등대,4.4,1605,등대
렛츠런파크 부산경남,4.1,240,경마용 대형 경마장
깡깡이 예술마을,3.8,249,
부산해양자연사박물관,4.4,734,"박물관, 박물학 및 과학관"
수로왕릉,4.3,1216,"무덤, 유적, 역사 및 사적"
아미산 전망대,4.4,1093,
대한불교천태종 삼광사,4.5,1163,불교 및 사원
오륙도 해맞이공원,4.3,779,공원
매미성,4.0,3699,성
무등산,4.5,102,정상 입산 제한이 있는 산
무등산 국립공원,4.5,1192,공원 및 산
광주광역시립미술관,4.3,885,미술관 및 예술
1913 송정역시장,3.9,4239,세련된 상점과 멋진 식사 공간
소쇄원 (瀟灑園),4.1,2490,자연과 조화를 이루는 유서 깊은 장소
국립광주박물관,4.3,1104,역사적인 유물 전시
광주패밀리랜드,4.2,439,"놀이공원, 동물원 및 야영"
펭귄마을,4.0,1191,
국립아시아문화전당,4.6,341,"전시, 쇼가 열리는 예술 중심지"
5·18기념공원,4.4,609,공원
무등산 서석대,4.6,581,등산 및 자연
국립광주과학관,4.4,1782,"과학관, 박물관 및 어린이 박물관"
원효사,4.4,464,사원
무등산 입석대,4.5,306,자연
광주호 호수생태원,4.4,2361,공원
세량지,4.3,271,
풍암 호수공원,4.4,1901,공원
우치공원동물원,4.3,1184,동물원 및 공원
의재미술관,4.0,108,"미술관, 건축, 예술 및 박물관"
광주광역시 우치공원,4.2,283,"공원, 동물원, 호랑이, 파충류 및 기린"
사직전망타워,4.3,808,공원
대인시장,3.9,1219,예술
무등산 지산유원지,3.9,946,
담양 식영정,4.2,239,
장성 필암서원,4.2,295,
규봉암,4.7,216,사원
영산포 홍어거리,3.9,481,
역사문화공원,4.0,123,역사 및 공원
화순적벽 자연보호구역,3.5,191,
쌍암공원,4.5,1249,공원
화순 아쿠아나 금호리조트,3.9,923,워터파크 및 온천
전일빌딩245,4.7,404,
광주역사민속박물관,4.3,350,지역 문화를 기리는 대형 박물관
홍길동테마파크,4.0,426,"야영, 놀이공원 및 공원"
빛가람전망대,4.3,1514,
빛가람호수공원,4.5,679,공원
증심사,4.3,516,사원
무등산편백자연휴양림,3.8,271,자연
우일선 선교사 사택,4.4,171,
송산유원지,4.0,635,
광주 예술의거리,4.1,123,
5.18자유공원,4.5,377,공원
광주시립미술관 하정웅미술관,4.3,190,미술관 및 예술
나한산 만연사(羅漢山 萬淵寺),4.4,183,사원
무각사,4.3,395,사원 및 불교
청춘발산마을,3.7,340,
나주 금성관,4.2,493,
월봉서원,4.5,137,
운천저수지,4.2,1573,
5.18 민주광장,4.6,557,역사적인 봉기가 일어난 장소
광주비엔날레,4.3,175,박물관
동구리 호수공원,4.5,184,공원
드들강솔밭유원지,4.1,632,야영
ACC 하늘마당,4.5,540,
광주김치타운,4.1,193,박물관
월계동 장고분,4.0,123,무덤 및 유적
광주 포충사,4.4,331,
광주어린이대공원,4.2,315,
수완호수공원,4.1,460,공원
